"","estrato1","sex","age","oficio","relab","impa","maxEducLevel","college","regSalud","cotPension","totalHoursWorked","formal","cuentaPropia","microEmpresa","sizeFirm","y_total_m","ln_y","age2","Mujer"
"7870","1","0",50,"45","4",2e+05,"4","0","3","2",24,"0","1","1","1",2e+05,12.2060726455302,2500,1
"7871","3","1",37,"53","1",869453,"5","1","1","1",48,"1","0","0","4",869453,13.6756195572614,1369,0
"7872","3","1",33,"45","1",869453,"5","1","1","1",48,"1","0","0","3",869453,13.6756195572614,1089,0
"7873","3","1",53,"95","4",0,"4","0","3","2",48,"0","1","1","1",1126151.125,13.9343162927078,2809,0
"7874","3","0",55,"55","4",5e+05,"6","0","3","2",55,"0","1","1","1",5e+05,13.1223633774043,3025,1
"7875","3","0",35,"55","1",869453,"5","1","1","1",48,"1","0","0","5",869453,13.6756195572614,1225,1
"7876","3","1",43,"84","4",750000,"4","0","3","2",48,"0","1","1","1",750000,13.5278284855125,1849,0
"7877","1","0",39,"55","4",6e+05,"4","0","1","2",50,"0","1","1","1",6e+05,13.3046849341983,1521,1
"7878","3","1",44,"95","1",0,"5","1","1","1",48,"1","0","0","4",1262152.26136364,14.0483289656484,1936,0
"7879","1","0",34,"33","1",1020929.41666667,"5","1","1","1",48,"1","0","0","5",1020929.4375,13.836223983593,1156,1
"7880","3","0",23,"97","1",869453,"5","1","1","1",48,"1","0","0","5",869453,13.6756195572614,529,1
"7881","1","0",50,"55","1",898619.666666667,"5","1","1","1",48,"1","0","0","5",898619.6875,13.708615184459,2500,1
"7882","1","1",26,"33","1",1169377.66666667,"5","1","1","1",48,"1","0","0","5",1169377.625,13.9719822207969,676,0
"7883","1","0",20,"54","3",8e+05,"2","0","3","2",48,"0","0","1","2",8e+05,13.5923670066501,400,1
"7884","1","0",54,"55","1",960929.416666667,"2","0","1","1",48,"1","0","0","4",960929.4375,13.775656259138,2916,1
"7885","1","1",38,"97","4",6e+05,"4","0","3","2",50,"0","1","1","1",6e+05,13.3046849341983,1444,0
"7886","3","0",39,"57","4",8e+05,"5","1","3","2",48,"0","1","1","2",8e+05,13.5923670066501,1521,1
"7887","1","1",23,"95","1",0,"4","0","1","2",48,"0","0","1","2",907181.420572917,13.7180977317778,529,0
"7888","1","0",35,"53","1",7e+05,"5","1","1","2",40,"0","0","1","2",7e+05,13.4588356140255,1225,1
"7889","3","1",28,"85","1",1080929.41666667,"4","0","1","1",48,"1","0","0","4",1080929.375,13.8933317614621,784,0
"7890","3","0",27,"39","1",869453,"6","0","1","1",48,"1","0","0","5",869453,13.6756195572614,729,1
"7891","3","1",43,"83","1",930929.416666667,"5","1","1","1",48,"1","0","0","4",930929.4375,13.7439387612279,1849,0
"7892","3","0",37,"97","1",930929.416666667,"5","1","1","1",48,"1","0","0","5",930929.4375,13.7439387612279,1369,1
